"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"tocqueville-legitimacy-erosion"
"06/30/2026 13:12:25:508 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"2","true","4","70","7","30","94","491","351","64","0.51496"
"3","true","4","70","7","30","82","65","719","64","0.5543199999999999"
"1","true","4","70","7","30","100","118","736","64","0.49528"
"4","true","4","70","7","30","99","70","752","64","0.49855999999999995"
"1","true","4","70","7","30","101","90","746","64","0.49199999999999994"
"3","true","4","70","7","30","83","51","738","64","0.55104"
"2","true","4","70","7","30","95","477","381","64","0.5116799999999999"
"4","true","4","70","7","30","100","20","769","64","0.49528"
"1","true","4","70","7","30","102","76","742","64","0.48872"
"4","true","4","70","7","30","101","11","745","64","0.49199999999999994"
"3","true","4","70","7","30","84","25","735","64","0.54776"
"2","true","4","70","7","30","96","451","400","64","0.5084"
"1","true","4","70","7","30","103","49","746","64","0.4854399999999999"
"4","true","4","70","7","30","102","12","732","64","0.48872"
"3","true","4","70","7","30","85","18","726","64","0.54448"
"1","true","4","70","7","30","104","56","743","64","0.48216"
"4","true","4","70","7","30","103","12","709","64","0.4854399999999999"
"2","true","4","70","7","30","97","434","416","64","0.50512"
"3","true","4","70","7","30","86","1","709","64","0.5411999999999999"
"4","true","4","70","7","30","104","3","688","64","0.48216"
"1","true","4","70","7","30","105","63","753","64","0.47888"
"3","true","4","70","7","30","87","0","676","64","0.53792"
"1","true","4","70","7","30","106","56","767","64","0.47559999999999997"
"2","true","4","70","7","30","98","420","446","64","0.5018400000000001"
"4","true","4","70","7","30","105","3","656","64","0.47888"
"3","true","4","70","7","30","88","6","644","64","0.53464"
"1","true","4","70","7","30","107","19","765","64","0.47231999999999996"
"4","true","4","70","7","30","106","2","616","64","0.47559999999999997"
"2","true","4","70","7","30","99","393","478","64","0.49855999999999995"
"1","true","4","70","7","30","108","1","747","64","0.46903999999999996"
"3","true","4","70","7","30","89","16","624","64","0.5313599999999999"
"4","true","4","70","7","30","107","0","589","64","0.47231999999999996"
"1","true","4","70","7","30","109","8","715","64","0.46576"
"2","true","4","70","7","30","100","364","502","64","0.49528"
"3","true","4","70","7","30","90","9","619","64","0.52808"
"4","true","4","70","7","30","108","3","569","64","0.46903999999999996"
"1","true","4","70","7","30","110","11","680","64","0.46247999999999995"
